product_id,title,category,price
1,Essence Mascara Lash Princess,beauty,9.99
2,Eyeshadow Palette with Mirror,beauty,19.99
3,Powder Canister,beauty,14.99
4,Red Lipstick,beauty,12.99
5,Red Nail Polish,beauty,8.99
6,Calvin Klein CK One,fragrances,49.99
7,Chanel Coco Noir Eau De,fragrances,129.99
8,Dior J'adore,fragrances,89.99
9,Dolce Shine Eau de,fragrances,69.99
10,Gucci Bloom Eau de,fragrances,79.99
11,Annibale Colombo Bed,furniture,1899.99
12,Annibale Colombo Sofa,furniture,2499.99
13,Bedside Table African Cherry,furniture,299.99
14,Knoll Saarinen Executive Conference Chair,furniture,499.99
15,Wooden Bathroom Sink With Mirror,furniture,799.99
16,Apple,groceries,1.99
17,Beef Steak,groceries,12.99
18,Cat Food,groceries,8.99
19,Chicken Meat,groceries,9.99
20,Cooking Oil,groceries,4.99
21,Cucumber,groceries,1.49
22,Dog Food,groceries,10.99
23,Eggs,groceries,2.99
24,Fish Steak,groceries,14.99
25,Green Bell Pepper,groceries,1.29
26,Green Chili Pepper,groceries,0.99
27,Honey Jar,groceries,6.99
28,Ice Cream,groceries,5.49
29,Juice,groceries,3.99
30,Kiwi,groceries,2.49
